seq,block,arm
1,1,CONTROL
2,1,CONTROL
3,1,AEGIS
4,1,AEGIS
5,2,AEGIS
6,2,AEGIS
7,2,CONTROL
8,2,CONTROL
9,3,CONTROL
10,3,CONTROL
11,3,AEGIS
12,3,AEGIS
13,4,CONTROL
14,4,AEGIS
15,4,CONTROL
16,4,AEGIS
17,5,AEGIS
18,5,CONTROL
19,5,CONTROL
20,5,AEGIS
21,6,AEGIS
22,6,CONTROL
23,6,AEGIS
24,6,CONTROL
25,7,AEGIS
26,7,AEGIS
27,7,CONTROL
28,7,CONTROL
29,8,CONTROL
30,8,AEGIS
31,8,AEGIS
32,8,CONTROL
33,9,CONTROL
34,9,AEGIS
35,9,CONTROL
36,9,AEGIS
37,10,AEGIS
38,10,AEGIS
39,10,CONTROL
40,10,CONTROL
41,11,AEGIS
42,11,CONTROL
43,11,CONTROL
44,11,AEGIS
45,12,AEGIS
46,12,CONTROL
47,12,CONTROL
48,12,AEGIS
49,13,AEGIS
50,13,CONTROL
51,13,CONTROL
52,13,AEGIS
53,14,AEGIS
54,14,CONTROL
55,14,AEGIS
56,14,CONTROL
57,15,AEGIS
58,15,AEGIS
59,15,CONTROL
60,15,CONTROL
61,16,CONTROL
62,16,AEGIS
63,16,CONTROL
64,16,AEGIS
65,17,AEGIS
66,17,AEGIS
67,17,CONTROL
68,17,CONTROL
69,18,AEGIS
70,18,CONTROL
71,18,AEGIS
72,18,CONTROL
73,19,CONTROL
74,19,AEGIS
75,19,CONTROL
76,19,AEGIS
77,20,CONTROL
78,20,AEGIS
79,20,AEGIS
80,20,CONTROL
81,21,AEGIS
82,21,AEGIS
83,21,CONTROL
84,21,CONTROL
85,22,CONTROL
86,22,CONTROL
87,22,AEGIS
88,22,AEGIS
89,23,AEGIS
90,23,CONTROL
91,23,CONTROL
92,23,AEGIS
93,24,AEGIS
94,24,CONTROL
95,24,AEGIS
96,24,CONTROL
97,25,AEGIS
98,25,CONTROL
99,25,CONTROL
100,25,AEGIS
101,26,AEGIS
102,26,CONTROL
103,26,AEGIS
104,26,CONTROL
105,27,CONTROL
106,27,AEGIS
107,27,AEGIS
108,27,CONTROL
109,28,CONTROL
110,28,CONTROL
111,28,AEGIS
112,28,AEGIS
113,29,CONTROL
114,29,AEGIS
115,29,AEGIS
116,29,CONTROL
117,30,AEGIS
118,30,CONTROL
119,30,CONTROL
120,30,AEGIS
121,31,AEGIS
122,31,AEGIS
123,31,CONTROL
124,31,CONTROL
125,32,CONTROL
126,32,AEGIS
127,32,CONTROL
128,32,AEGIS
129,33,AEGIS
130,33,CONTROL
131,33,CONTROL
132,33,AEGIS
133,34,AEGIS
134,34,CONTROL
135,34,AEGIS
136,34,CONTROL
137,35,CONTROL
138,35,CONTROL
139,35,AEGIS
140,35,AEGIS
141,36,CONTROL
142,36,AEGIS
143,36,AEGIS
144,36,CONTROL
145,37,AEGIS
146,37,AEGIS
147,37,CONTROL
148,37,CONTROL
149,38,CONTROL
150,38,CONTROL
151,38,AEGIS
152,38,AEGIS
153,39,AEGIS
154,39,CONTROL
155,39,AEGIS
156,39,CONTROL
157,40,CONTROL
158,40,AEGIS
159,40,CONTROL
160,40,AEGIS
161,41,AEGIS
162,41,AEGIS
163,41,CONTROL
164,41,CONTROL
165,42,AEGIS
166,42,CONTROL
167,42,CONTROL
168,42,AEGIS
169,43,CONTROL
170,43,AEGIS
171,43,AEGIS
172,43,CONTROL
173,44,AEGIS
174,44,CONTROL
175,44,AEGIS
176,44,CONTROL
177,45,CONTROL
178,45,AEGIS
179,45,CONTROL
180,45,AEGIS
181,46,CONTROL
182,46,CONTROL
183,46,AEGIS
184,46,AEGIS
185,47,CONTROL
186,47,AEGIS
187,47,CONTROL
188,47,AEGIS
189,48,AEGIS
190,48,CONTROL
191,48,AEGIS
192,48,CONTROL
193,49,CONTROL
194,49,CONTROL
195,49,AEGIS
196,49,AEGIS
197,50,CONTROL
198,50,CONTROL
199,50,AEGIS
200,50,AEGIS
201,51,AEGIS
202,51,AEGIS
203,51,CONTROL
204,51,CONTROL
205,52,CONTROL
206,52,CONTROL
207,52,AEGIS
208,52,AEGIS
209,53,CONTROL
210,53,AEGIS
211,53,AEGIS
212,53,CONTROL
213,54,AEGIS
214,54,AEGIS
215,54,CONTROL
216,54,CONTROL
217,55,CONTROL
218,55,CONTROL
219,55,AEGIS
220,55,AEGIS
221,56,AEGIS
222,56,AEGIS
223,56,CONTROL
224,56,CONTROL
225,57,CONTROL
226,57,AEGIS
227,57,AEGIS
228,57,CONTROL
229,58,CONTROL
230,58,AEGIS
231,58,AEGIS
232,58,CONTROL
233,59,CONTROL
234,59,AEGIS
235,59,CONTROL
236,59,AEGIS
237,60,CONTROL
238,60,CONTROL
239,60,AEGIS
240,60,AEGIS
241,61,AEGIS
242,61,AEGIS
243,61,CONTROL
244,61,CONTROL
245,62,CONTROL
246,62,AEGIS
247,62,CONTROL
248,62,AEGIS
249,63,CONTROL
250,63,AEGIS
251,63,AEGIS
252,63,CONTROL
253,64,CONTROL
254,64,AEGIS
255,64,AEGIS
256,64,CONTROL
257,65,AEGIS
258,65,CONTROL
259,65,AEGIS
260,65,CONTROL
261,66,AEGIS
262,66,CONTROL
263,66,AEGIS
264,66,CONTROL
265,67,AEGIS
266,67,CONTROL
267,67,AEGIS
268,67,CONTROL
269,68,AEGIS
270,68,AEGIS
271,68,CONTROL
272,68,CONTROL
273,69,AEGIS
274,69,CONTROL
275,69,AEGIS
276,69,CONTROL
277,70,AEGIS
278,70,CONTROL
279,70,AEGIS
280,70,CONTROL
281,71,CONTROL
282,71,CONTROL
283,71,AEGIS
284,71,AEGIS
285,72,CONTROL
286,72,AEGIS
287,72,CONTROL
288,72,AEGIS
289,73,CONTROL
290,73,AEGIS
291,73,CONTROL
292,73,AEGIS
293,74,CONTROL
294,74,AEGIS
295,74,AEGIS
296,74,CONTROL
297,75,AEGIS
298,75,CONTROL
299,75,CONTROL
300,75,AEGIS
301,76,CONTROL
302,76,CONTROL
303,76,AEGIS
304,76,AEGIS
305,77,CONTROL
306,77,CONTROL
307,77,AEGIS
308,77,AEGIS
309,78,AEGIS
310,78,AEGIS
311,78,CONTROL
312,78,CONTROL
313,79,AEGIS
314,79,AEGIS
315,79,CONTROL
316,79,CONTROL
317,80,CONTROL
318,80,AEGIS
319,80,CONTROL
320,80,AEGIS
321,81,AEGIS
322,81,AEGIS
323,81,CONTROL
324,81,CONTROL
325,82,AEGIS
326,82,CONTROL
327,82,CONTROL
328,82,AEGIS
329,83,CONTROL
330,83,AEGIS
331,83,CONTROL
332,83,AEGIS
333,84,AEGIS
334,84,AEGIS
335,84,CONTROL
336,84,CONTROL
337,85,AEGIS
338,85,AEGIS
339,85,CONTROL
340,85,CONTROL
341,86,CONTROL
342,86,CONTROL
343,86,AEGIS
344,86,AEGIS
345,87,CONTROL
346,87,AEGIS
347,87,AEGIS
348,87,CONTROL
349,88,CONTROL
350,88,AEGIS
351,88,CONTROL
352,88,AEGIS
353,89,AEGIS
